taxon_id,scientific_name,common_name,kingdom,phylum,class,order,family,genus
3049235,Physaria brassicoides,Rydberg's Double Twinpod,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Physaria
3049163,Physaria montana,Mountain Bladderpod,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Physaria
5334465,Polygonum douglasii,Douglas' Knotweed,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum
7219337,Polygonum sawatchense ssp. sawatchense,Sawatch Knotweed,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum
3040215,Populus tremuloides,Quaking Aspen,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus
3040193,Populus x acuminata,Lanceleaf Cottonwood,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus
5367733,Potentilla hippiana,Horse Cinquefoil,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla
5334184,Pterospora andromedea,Giant Pinedrops,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Pterospora
2986164,Ribes hirtellum,Smooth Gooseberry,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes
3053227,Rorippa tenerrima,Modoc County Yellowcress,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Rorippa
7095876,Sedum lanceolatum var. lanceolatum,Lanceleaf Stonecrop,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Sedum
6291148,Solidago speciosa var. pallida,Pale Showy Goldenrod,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago
7225656,Stanleya pinnata var. pinnata,Desert Prince's-plume,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Stanleya
5401962,Townsendia hookeri,Hooker's Townsend-daisy,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Townsendia
3172414,Utricularia minor,Lesser Bladderwort,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lentibulariaceae,Utricularia
5331199,Viola adunca,Sand Violet,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola
5331175,Viola vallicola,Valley Violet,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola
5372401,Vitis vulpina,Winter Grape,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitis
6091692,Peucaea cassinii,Cassin's Sparrow,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Peucaea
7261900,Myotis lucifugus lucifugus,Eastern Little Brown Myotis,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
4264486,Thomomys talpoides pierreicolus,Pierre Northern Pocket Gopher,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys
4990190,Coccinella novemnotata,Nine-spotted Lady Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella
8226569,Encoptolophus subgracilis,Southwestern Dusky Grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Nebulatettix
1699015,Melanoplus punctulatus,Pine Tree Spur-throat Grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus
2703743,Bromus porteri,Porter's Chess,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus
2723156,Carex diandra,Lesser Panicled Sedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex
2728532,Carex lasiocarpa var. americana,Slender Sedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex
2867614,Lemna minuta,Least Duckweed,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna
5384387,Amaranthus californicus,California Amaranth,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus
5385499,Antennaria rosea,Rosy Pussytoes,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria
8076188,Atriplex gardneri,Gardner's Saltbush,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex
7219352,Eriogonum brevicaule var. brevicaule,Shortstem Buckwheat,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum
6396091,Heliotropium curassavicum var. obovatum,Seaside Heliotrope,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium
4274385,Hymenoxys richardsonii var. richardsonii,Richardson's Bitterweed,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hymenoxys
4022595,Phemeranthus calycinus,Large-Flower Fameflower,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Phemeranthus
4022511,Phemeranthus rugospermus,Prairie Fameflower,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Phemeranthus
5341810,Physalis pumila,Dwarf Ground-cherry,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Physalis
2888967,Rumex verticillatus,Swamp Dock,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex
4231219,Senecio integerrimus var. scribneri,Scribner's Ragwort,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio
3141090,Stephanomeria runcinata,Desert Skeletonplant,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Stephanomeria
3083649,Suckleya suckleyana,Poison Suckleya,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Suckleya
2438444,Neotoma floridana,Eastern Woodrat,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma
2438444,Neotoma floridana baileyi,Bailey's Eastern Woodrat,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma
