taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,sd_te,nebraska_swap,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,sum_nObs
2725002,Carex bebbii,Bebb's Sedge,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex bebbii,NA,NA,NA,3,1995,2017,0,NA,NA,4,1995,2017,2,1911,1995,1,1995,1995,10
2726268,Carex utriculata,Beaked Sedge,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex utriculata,NA,NA,NA,1,2017,2017,0,NA,NA,1,1927,1927,0,NA,NA,1,2017,2017,3
2723338,Carex xerantica,White-scaled Sedge,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex xerantica,NA,NA,NA,9,1991,2015,0,NA,NA,2,1991,1991,0,NA,NA,2,1991,1991,13
2810284,Coeloglossum viride,Long-Bract Frog Orchid,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza,Dactylorhiza viridis,NA,NA,NA,8,1911,2016,0,NA,NA,6,1892,2006,0,NA,NA,3,1991,2006,17
2797273,Corallorhiza maculata,Spotted Coralroot,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corallorhiza,Corallorhiza maculata,NA,NA,NA,4,1974,2015,0,NA,NA,3,1974,1993,0,NA,NA,3,1974,1993,10
2797253,Corallorhiza wisteriana,Spring Coralroot,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corallorhiza,Corallorhiza wisteriana,NA,NA,NA,0,NA,NA,0,NA,NA,1,1972,1972,1,1972,1972,1,1972,1972,3
2703267,Danthonia spicata,Poverty Oatgrass,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Danthonia,Danthonia spicata,NA,NA,NA,1,2015,2015,0,NA,NA,2,2004,2015,0,NA,NA,2,2004,2015,5
2702666,Dichanthelium linearifolium,Slim-leaf Witchgrass,G5,S1,SNR,NA,NA,NA,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dichanthelium,Dichanthelium linearifolium,NA,NA,NA,0,NA,NA,0,NA,NA,1,1973,1973,0,NA,NA,0,NA,NA,1
2730137,Eriophorum gracile,Slender Cotton-grass,G5,S2,S1,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eriophorum,Eriophorum gracile,NA,NA,NA,1,1893,1893,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
2702835,Festuca kingii,Spike Fescue,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Festuca,Festuca kingii,NA,NA,NA,11,1890,2015,0,NA,NA,13,2004,2012,0,NA,NA,6,2006,2012,30
